file,participant,condition,timestamp,duration,wpm,accuracy,errors,sentencesCompleted,totalCharactersTyped,correctCharacters,order
P01-typing-test-1765962314461staitionary.json,P01,sitting,2025-12-17 09:05:14.452000+00:00,60.003,50,85.07,54,9,288,245,1
P01-typing-test-1765962486539walking.json,P01,walking,2025-12-17 09:08:06.532000+00:00,60.001,60,98.03,13,11,304,298,2
P01-typing-test-1765962592929stairs.json,P01,stairs,2025-12-17 09:09:52.922000+00:00,60.001,44,82.4,29,8,250,206,3
P02-Walking.json,P02,walking,2025-12-17 09:44:14.617000+00:00,60.074,21,63.75,67,5,160,102,1
P02-Uptairs.json,P02,stairs,2025-12-17 09:51:20.242000+00:00,60.063,24,66.46,76,5,158,105,2
P02-Stationary.json,P02,sitting,2025-12-17 09:53:54.232000+00:00,60.065,31,87.93,27,5,174,153,3
P03-typing-test-1765963861860sitting.json,P03,sitting,2025-12-17 09:31:01.847000+00:00,60.005,21,71.01,50,4,138,98,1
P03-typing-test-1765964109796walking.json,P03,walking,2025-12-17 09:35:09.790000+00:00,60.002,37,94.21,6,7,190,179,2
P03-typing-test-1765964285378stairs.json,P03,stairs,2025-12-17 09:38:05.374000+00:00,60.005,16,58.99,69,5,139,82,3
P04-Stationary.json,P04,sitting,2025-12-17 10:03:11.942000+00:00,60.001,36,91.75,16,6,194,178,1
P04-Walking.json,P04,walking,2025-12-17 10:05:40.391000+00:00,60.001,45,88.41,84,8,233,206,2
P04-Upstairs.json,P04,stairs,2025-12-17 10:08:13.403000+00:00,60.001,30,100.0,1,6,149,149,3
P05-typing-test-1765965013714sitting.json,P05,sitting,2025-12-17 09:50:13.690000+00:00,60.002,52,93.07,45,8,274,255,1
P05-typing-test-1765965236322walking.json,P05,walking,2025-12-17 09:53:56.311000+00:00,60.002,39,70.57,146,8,265,187,2
P05-typing-test-1765965442793stairs.json,P05,stairs,2025-12-17 09:57:22.787000+00:00,60.001,34,71.81,110,7,227,163,3
P06-Stationary.json,P06,sitting,2025-12-17 10:28:43.198000+00:00,60.055,22,85.84,5,3,113,97,1
P06-Upstairs.json,P06,stairs,2025-12-17 10:37:30.180000+00:00,60.063,7,49.15,27,1,59,29,2
P06-Walking.json,P06,walking,2025-12-17 10:39:58.050000+00:00,60.069,12,55.56,13,2,72,40,3
P07-typing-test-1765966253754sit.json,P07,sitting,2025-12-17 10:10:53.736000+00:00,60.004,31,84.44,57,6,180,152,1
P07-typing-test-1765966496835Walking.json,P07,walking,2025-12-17 10:14:56.826000+00:00,60.005,41,420.51,10,6,39,164,2
p07-typing-test-1765966638318stairs.json,P07,stairs,2025-12-17 10:17:18.306000+00:00,60.003,28,287.5,9,4,40,115,3
P08-Stationary.json,P08,sitting,2025-12-17 10:15:12.285000+00:00,60.004,30,75.54,43,6,184,139,1
P08-Upstairs.json,P08,stairs,2025-12-17 10:18:05.250000+00:00,60.002,30,72.63,52,5,179,130,2
P08-Walking.json,P08,walking,2025-12-17 10:22:21.126000+00:00,60.003,18,49.12,105,6,171,84,3
P09-typing-test-1765967465896-walking.json,P09,walking,2025-12-17 10:31:05.857000+00:00,60.007,62,81.5,129,12,346,282,1
P09-typing-test-1765967866267-sitting.json,P09,sitting,2025-12-17 10:37:46.255000+00:00,60.025,40,182.86,31,7,105,192,2
P09-typing-test-1765968001571-stairs.json,P09,stairs,2025-12-17 10:40:01.567000+00:00,60.024,43,97.51,18,8,201,196,3
P10-Walking.json,P10,walking,2025-12-17 12:04:59.177000+00:00,60.002,33,85.96,62,6,178,153,1
P10-Stationary.json,P10,sitting,2025-12-17 12:07:30.389000+00:00,60.006,42,98.56,27,8,208,205,2
P10-Upstairs.json,P10,stairs,2025-12-17 12:10:19.087000+00:00,60.005,32,86.52,101,6,178,154,3
P11-typing-test-1766050072598walking.json,P11,walking,2025-12-18 09:27:52.592000+00:00,60.01,33,83.05,40,5,177,147,1
p11-typing-test-1766050165190stairs.json,P11,stairs,2025-12-18 09:29:25.185000+00:00,60.001,26,77.02,32,5,161,124,2
p11-typing-test-1766050457618sitting.json,P11,sitting,2025-12-18 09:34:17.614000+00:00,60.002,32,74.61,32,6,193,144,3
P12-Walking.json,P12,walking,2025-12-17 12:45:50.991000+00:00,60.087,45,77.86,70,8,262,204,1
P12-Stationary.json,P12,sitting,2025-12-17 12:48:49.165000+00:00,60.062,42,79.42,72,8,243,193,2
P12-Upstairs.json,P12,stairs,2025-12-17 12:51:05.603000+00:00,60.06,40,91.51,29,7,212,194,3
P13-walking.json,P13,walking,2025-12-18 11:57:35.862000+00:00,60.065,52,82.33,81,10,300,247,1
P13-stairs.json,P13,stairs,2025-12-18 11:59:59.601000+00:00,60.069,47,89.92,91,9,258,232,2
P13-sitting.json,P13,sitting,2025-12-18 12:01:59.259000+00:00,60.067,62,93.11,91,11,334,311,3
P14-Walking.json,P14,walking,2025-12-17 13:50:16.625000+00:00,60.002,39,86.73,4,6,196,170,1
P14-Upstairs.json,P14,stairs,2025-12-17 13:53:46.480000+00:00,60.001,39,94.44,1,7,198,187,2
P14-Stationary.json,P14,sitting,2025-12-17 13:56:53.403000+00:00,60.003,45,89.04,8,8,228,203,3
P15-typing-test-1766060953499-walking.json,P15,walking,2025-12-18 12:29:13.498000+00:00,60.957,40,87.5,38,7,216,189,1
P15-typing-test-1766061144010-Stairs.json,P15,stairs,2025-12-18 12:32:24.009000+00:00,60.627,39,91.0,71,7,211,192,2
P15-typing-test-1766061310098-Sitting.json,P15,sitting,2025-12-18 12:35:10.097000+00:00,60.849,47,99.16,38,8,239,237,3
P16-Walking.json,P16,walking,2025-12-18 08:55:37.869000+00:00,60.009,13,62.5,61,3,104,65,1
P16-Uptairs.json,P16,stairs,2025-12-18 08:59:42.184000+00:00,60.004,7,45.95,40,2,74,34,2
P16-Stationary.json,P16,sitting,2025-12-18 09:02:33.587000+00:00,60.013,26,86.9,27,5,145,126,3
P17-Stairs.json,P17,stairs,2025-12-18 13:11:35.363000+00:00,60.084,34,85.05,73,7,194,165,1
P17-Sitting.json,P17,sitting,2025-12-18 13:14:18.684000+00:00,60.062,38,77.88,54,7,226,176,2
P17-Walking.json,P17,walking,2025-12-18 13:16:32.995000+00:00,60.073,40,79.84,95,8,248,198,3
P18-Upstairs.json,P18,stairs,2025-12-18 09:40:45.194000+00:00,60.003,15,86.57,2,2,67,58,1
P18-Stationary.json,P18,sitting,2025-12-18 09:45:32.293000+00:00,60.003,21,98.97,7,3,97,96,2
P18-Walking.json,P18,walking,2025-12-18 09:47:45.208000+00:00,60.002,12,72.6,23,3,73,53,3
P19-typing-test-1766139952935-Stairs.json,P19,stairs,2025-12-19 10:25:52.933000+00:00,60.04,36,382.98,7,6,47,180,1
P19.typing-test-1766140040213-Sitting.json,P19,sitting,2025-12-19 10:27:20.212000+00:00,60.057,36,432.5,6,7,40,173,2
P19-typing-test-1766140121048-Walking.json,P19,walking,2025-12-19 10:28:41.047000+00:00,60.046,38,345.83,11,6,48,166,3
P20-Upstairs.json,P20,stairs,2025-12-18 11:26:15.045000+00:00,60.003,12,32.38,73,3,105,34,1
P20-Stationary.json,P20,sitting,2025-12-18 11:29:53.039000+00:00,60.003,26,80.12,48,6,161,129,2
P20-Walking.json,P20,walking,2025-12-18 11:32:18.917000+00:00,60.002,18,61.83,60,3,131,81,3
P21-typing-test-1766143332702-Stairs.json,P21,stairs,2025-12-19 11:22:12.700000+00:00,60.046,30,93.42,43,5,152,142,1
P21-typing-test-1766143567300-Walking.json,P21,walking,2025-12-19 11:26:07.300000+00:00,60.058,20,55.81,111,5,172,96,2
P21-typing-test-1766143763349-Sitting.json,P21,sitting,2025-12-19 11:29:23.348000+00:00,60.022,25,79.11,59,6,158,125,3
P22-Upstairs.json,P22,stairs,2025-12-18 12:53:54.438000+00:00,60.055,18,49.33,84,4,150,74,1
P22-Walking.json,P22,walking,2025-12-18 12:59:58.494000+00:00,60.073,35,91.58,19,6,190,174,2
P22-Stationary.json,P22,sitting,2025-12-18 13:03:02.800000+00:00,60.055,32,90.4,33,6,177,160,3
P23-typing-test-1766148858277-Stairs.json,P23,stairs,2025-12-19 12:54:18.272000+00:00,60.002,34,273.77,21,6,61,167,1
P23-typing-test-1766149002174.-Sitting.json,P23,sitting,2025-12-19 12:56:42.172000+00:00,60.002,37,447.37,12,6,38,170,2
P23-typing-test-1766149124858-Walking.json,P23,walking,2025-12-19 12:58:44.857000+00:00,60.002,29,346.34,22,6,41,142,3
P24-Upstairs.json,P24,stairs,2025-12-18 13:14:42.765000+00:00,60.008,25,53.88,115,7,232,125,1
P24-Walking.json,P24,walking,2025-12-18 13:19:47.125000+00:00,60.001,33,64.03,93,8,253,162,2
P24-Stationary.json,P24,sitting,2025-12-18 13:21:53.632000+00:00,60.003,41,76.49,86,8,268,205,3
